relation1	relation2	percentage of overlapping predicted edges
bioarx::HumGenHumGen:Gene:Gene	STRING::BINDING::Gene:Gene	0.5994043701396644
GNBR::Y::Gene:Disease	GNBR::Te::Gene:Disease	0.5993556443556447
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5987970362970365
GNBR::B::Compound:Gene	GNBR::Z::Compound:Gene	0.5983288933288936
STRING::REACTION::Gene:Gene	STRING::OTHER::Gene:Gene	0.5974504906857849
STRING::CATALYSIS::Gene:Gene	STRING::OTHER::Gene:Gene	0.5959184932714345
Hetionet::GcG::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5952870169046645
INTACT::COLOCALIZATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5952530802530804
GNBR::A+::Compound:Gene	GNBR::O::Compound:Gene	0.5948199023199026
STRING::ACTIVATION::Gene:Gene	STRING::OTHER::Gene:Gene	0.5947952047952051
GNBR::W::Gene:Gene	Hetionet::GcG::Gene:Gene	0.5936444927621403
INTACT::PHOSPHORYLATION REACTION::Gene:Gene	STRING::OTHER::Gene:Gene	0.59339807251572
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5927168093344567
GNBR::Rg::Gene:Gene	STRING::OTHER::Gene:Gene	0.5926593667770139
GNBR::N::Compound:Gene	GNBR::K::Compound:Gene	0.5921838945368361
bioarx::HumGenHumGen:Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5917930109106582
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::BINDING::Gene:Gene	0.5916349989879404
INTACT::COLOCALIZATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5916073632250104
GNBR::I::Gene:Gene	STRING::OTHER::Gene:Gene	0.5907542457542461
GNBR::W::Gene:Gene	STRING::OTHER::Gene:Gene	0.5906566472742945
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::OTHER::Gene:Gene	0.5901998001998006
GNBR::B::Compound:Gene	GNBR::E-::Compound:Gene	0.5900822216998691
GNBR::B::Gene:Gene	STRING::OTHER::Gene:Gene	0.5898351648351651
STRING::CATALYSIS::Gene:Gene	STRING::BINDING::Gene:Gene	0.5894639184345067
INTACT::PHYSICAL ASSOCIATION::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.5882392607392612
INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	STRING::OTHER::Gene:Gene	0.5882301032301034
Hetionet::GcG::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.588101065601066
GNBR::Md::Gene:Disease	GNBR::D::Gene:Disease	0.5869784627137574
GNBR::Md::Gene:Disease	GNBR::Ud::Gene:Disease	0.5868947718947723
Hetionet::GcG::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.586026473526474
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5857532173708647
GNBR::I::Gene:Gene	Hetionet::GcG::Gene:Gene	0.585719280719281
GNBR::E+::Gene:Gene	Hetionet::GcG::Gene:Gene	0.5853760128760132
INTACT::ASSOCIATION::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.5850585199114614
bioarx::HumGenHumGen:Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5839210789210793
GNBR::A+::Compound:Gene	GNBR::E+::Compound:Gene	0.5837080076785962
GNBR::E::Gene:Gene	Hetionet::GcG::Gene:Gene	0.5834798534798541
GNBR::Te::Gene:Disease	GNBR::D::Gene:Disease	0.5830844155844159
GNBR::A-::Compound:Gene	GNBR::E-::Compound:Gene	0.5826851743028216
GNBR::D::Gene:Disease	GNBR::X::Gene:Disease	0.5817859591389007
GNBR::E-::Compound:Gene	GNBR::O::Compound:Gene	0.5817014031719918
bioarx::HumGenHumGen:Gene:Gene	GNBR::B::Gene:Gene	0.5815882157058629
GNBR::B::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.5804583161936107
GNBR::E+::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.5804160545337019
bioarx::HumGenHumGen:Gene:Gene	GNBR::W::Gene:Gene	0.5793350766880182
bioarx::HumGenHumGen:Gene:Gene	GNBR::H::Gene:Gene	0.578706293706294
GNBR::Rg::Gene:Gene	GNBR::E::Gene:Gene	0.578307525807526
bioarx::HumGenHumGen:Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5781599772776248
GNBR::I::Gene:Gene	GNBR::E+::Gene:Gene	0.5778900511253455
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.5766658341658346
GNBR::B::Gene:Gene	Hetionet::GcG::Gene:Gene	0.5762543828720303
GNBR::Rg::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5753096903096907
GNBR::V+::Gene:Gene	GNBR::Rg::Gene:Gene	0.5748101898101903
GNBR::D::Gene:Disease	GNBR::Ud::Gene:Disease	0.5747073188249661
GNBR::E::Gene:Gene	STRING::OTHER::Gene:Gene	0.5745679320679324
INTACT::ASSOCIATION::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5745576645576648
GNBR::I::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.5740249456425929
GNBR::Rg::Gene:Gene	GNBR::B::Gene:Gene	0.5734285975462449
GNBR::B::Gene:Gene	GNBR::I::Gene:Gene	0.5734174159174165
Hetionet::GcG::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.5733103824280301
GNBR::I::Gene:Gene	GNBR::E::Gene:Gene	0.5729204129204131
GNBR::E+::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5725955417131892
Hetionet::GcG::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5722558813735289
GNBR::Rg::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.572068568686216
Hetionet::GcG::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.57194388944389
GNBR::V+::Gene:Gene	STRING::OTHER::Gene:Gene	0.5716441891441894
GNBR::Q::Gene:Gene	GNBR::H::Gene:Gene	0.571606530724178
GNBR::H::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5713592779769257
bioarx::HumGenHumGen:Gene:Gene	GNBR::E+::Gene:Gene	0.5712385653562125
INTACT::ASSOCIATION::Gene:Gene	STRING::OTHER::Gene:Gene	0.570790875790876
STRING::OTHER::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.5704759945936418
GNBR::E+::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5700547491723966
GNBR::Rg::Gene:Gene	GNBR::I::Gene:Gene	0.570054112554113
GNBR::Rg::Gene:Gene	Hetionet::GcG::Gene:Gene	0.5696686646686648
GNBR::E::Compound:Gene	GNBR::Z::Compound:Gene	0.568194231808783
Hetionet::GcG::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.567816154433802
STRING::CATALYSIS::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5676775675305089
bioarx::HumGenHumGen:Gene:Gene	GNBR::Rg::Gene:Gene	0.567480852480853
DGIDB::INHIBITOR::Gene:Compound	DGIDB::OTHER::Gene:Compound	0.5673695422224838
Hetionet::GcG::Gene:Gene	STRING::BINDING::Gene:Gene	0.567064210299505
Hetionet::GcG::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.566985873603521
INTACT::COLOCALIZATION::Gene:Gene	STRING::BINDING::Gene:Gene	0.5667976141505557
GNBR::E::Compound:Gene	GNBR::B::Compound:Gene	0.5663846610905438
INTACT::CLEAVAGE REACTION::Gene:Gene	STRING::OTHER::Gene:Gene	0.5662266328442802
bioarx::HumGenHumGen:Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.5660437601614074
GNBR::Q::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.5658914125090599
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.5654805978335392
bioarx::HumGenHumGen:Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5654208536561481
GNBR::W::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.5653104901634316
GNBR::I::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5651481851481854
GNBR::E+::Compound:Gene	GNBR::B::Compound:Gene	0.5648927379809738
Hetionet::GiG::Gene:Gene	STRING::OTHER::Gene:Gene	0.5648849190025664
GNBR::H::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5647277722277726
GNBR::E::Compound:Gene	GNBR::A+::Compound:Gene	0.5646439018497847
bioarx::HumGenHumGen:Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5643646059822532
GNBR::Rg::Gene:Gene	GNBR::W::Gene:Gene	0.564074895692543
INTACT::COLOCALIZATION::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5636028677205153
Hetionet::GcG::Gene:Gene	INTACT::ADP RIBOSYLATION REACTION::Gene:Gene	0.5635304401480874
Hetionet::GiG::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5635283017635965
GNBR::H::Gene:Gene	Hetionet::GcG::Gene:Gene	0.5633541458541464
GNBR::E+::Gene:Gene	STRING::BINDING::Gene:Gene	0.5631755989108934
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::REACTION::Gene:Gene	0.5626958825488242
bioarx::HumGenHumGen:Gene:Gene	STRING::REACTION::Gene:Gene	0.5621058353411297
GNBR::V+::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.5618414918414922
bioarx::HumGenHumGen:Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.5608023349199823
GNBR::E::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.5605123471299944
STRING::INHIBITION::Gene:Gene	STRING::OTHER::Gene:Gene	0.5601944134297079
GNBR::Rg::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5591804274157219
GNBR::H::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.558890080507728
GNBR::Rg::Gene:Gene	STRING::BINDING::Gene:Gene	0.5588761728467614
GNBR::H::Gene:Gene	STRING::BINDING::Gene:Gene	0.5583178749355224
Hetionet::GiG::Gene:Gene	Hetionet::GcG::Gene:Gene	0.5582028755558172
GNBR::Rg::Gene:Gene	STRING::REACTION::Gene:Gene	0.5581511788864731
GNBR::A+::Compound:Gene	GNBR::Z::Compound:Gene	0.5581190824998877
GNBR::E::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5581152181152185
Hetionet::GiG::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5580232512585457
GNBR::B::Gene:Gene	STRING::BINDING::Gene:Gene	0.5579183561536507
INTACT::COLOCALIZATION::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5578585303585311
GNBR::H::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.5572357054709999
INTACT::COLOCALIZATION::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.5567626491155908
GNBR::V+::Gene:Gene	Hetionet::GcG::Gene:Gene	0.5558652132181549
GNBR::W::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.5556083622260096
DRUGBANK::target::Compound:Gene	Hetionet::CbG::Compound:Gene	0.5555573631734626
bioarx::HumGenHumGen:Gene:Gene	GNBR::I::Gene:Gene	0.5546449628802573
GNBR::B::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.55457475531005
GNBR::H::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5542340992340994
GNBR::B::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5541779299132246
GNBR::W::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5540982057158529
GNBR::G::Gene:Disease	GNBR::Ud::Gene:Disease	0.5540684315684321
INTACT::PHOSPHORYLATION REACTION::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5537060978237452
GNBR::E+::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5534752992105936
STRING::REACTION::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5532840199016672
GNBR::I::Gene:Gene	GNBR::W::Gene:Gene	0.5532249123425598
GNBR::Q::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5531893106893112
GNBR::W::Gene:Gene	STRING::BINDING::Gene:Gene	0.5530693979223396
bioarx::HumGenHumGen:Gene:Gene	GNBR::V+::Gene:Gene	0.5530051321227796
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.5528355468061354
GNBR::Rg::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.5526118326118329
STRING::CATALYSIS::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.5525685099214516
GNBR::E+::Gene:Gene	GNBR::H::Gene:Gene	0.552518951636599
bioarx::HumGenHumGen:Gene:Gene	GNBR::E::Gene:Gene	0.5524636148165564
GNBR::B::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.5524059763765649
GNBR::V+::Gene:Gene	GNBR::B::Gene:Gene	0.5523160173160176
GNBR::Q::Gene:Gene	GNBR::Rg::Gene:Gene	0.5522766938943415
GNBR::E::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5519210201563147
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.5516587823940767
GNBR::Te::Gene:Disease	GNBR::X::Gene:Disease	0.5515261372614316
GNBR::E::Gene:Gene	Hetionet::GiG::Gene:Gene	0.5512964486493902
GNBR::E+::Gene:Gene	GNBR::W::Gene:Gene	0.5509560700737173
INTACT::COLOCALIZATION::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.5502551859904807
GNBR::Q::Gene:Gene	GNBR::B::Gene:Gene	0.5500004407357352
bioarx::HumGenHumGen:Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.549606451340198
INTACT::ASSOCIATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5495616311792783
GNBR::E+::Gene:Gene	STRING::REACTION::Gene:Gene	0.5493783667313079
GNBR::Q::Gene:Gene	STRING::OTHER::Gene:Gene	0.5487277428453902
INTACT::PROTEIN CLEAVAGE::Gene:Gene	STRING::OTHER::Gene:Gene	0.5486948835478251
GNBR::V+::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5486827878004351
GNBR::Q::Gene:Gene	Hetionet::GcG::Gene:Gene	0.5486526218879163
GNBR::B::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5484521034521037
GNBR::B::Gene:Gene	GNBR::W::Gene:Gene	0.5484018432547847
GNBR::H::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.5482188073364547
Hetionet::GiG::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.5480557187910132
bioarx::HumGenHumGen:Gene:Gene	STRING::PTMOD::Gene:Gene	0.5477730602730607
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5472673405026351
GNBR::I::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5469267660444135
GNBR::W::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5468816967346385
GNBR::E+::Compound:Gene	GNBR::Z::Compound:Gene	0.5468739267268682
bioarx::HumGenHumGen:Gene:Gene	Hetionet::GiG::Gene:Gene	0.5468234216763631
STRING::REACTION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.5467946759123233
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::ADP RIBOSYLATION REACTION::Gene:Gene	0.5467860734037208
GNBR::B::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.5466752365281782
GNBR::V+::Gene:Gene	GNBR::W::Gene:Gene	0.5463983238983242
GNBR::W::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5463451254627728
GNBR::W::Gene:Gene	Hetionet::GiG::Gene:Gene	0.5460206460206465
GNBR::W::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.545711314828962
GNBR::H::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5456454329983746
GNBR::I::Gene:Gene	GNBR::H::Gene:Gene	0.5456056688409633
GNBR::E+::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5455473937826881
GNBR::E+::Compound:Gene	GNBR::O::Compound:Gene	0.5454552224521269
GNBR::V+::Gene:Gene	GNBR::E::Gene:Gene	0.5453116001645418
bioarx::HumGenHumGen:Gene:Gene	INTACT::ADP RIBOSYLATION REACTION::Gene:Gene	0.5451784000313415
GNBR::B::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5451255117431592
Hetionet::GiG::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5448747331100277
GNBR::Q::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5448062721592136
GNBR::Q::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5445562770562775
GNBR::H::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.5445084327437274
GNBR::V+::Gene:Gene	STRING::REACTION::Gene:Gene	0.5442759691289104
GNBR::Rg::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.5442605433781909
STRING::OTHER::Gene:Gene	STRING::PTMOD::Gene:Gene	0.544024945642593
GNBR::A+::Compound:Gene	GNBR::K::Compound:Gene	0.5439955589645996
GNBR::Q::Gene:Gene	STRING::BINDING::Gene:Gene	0.5438288345641289
Hetionet::GcG::Gene:Gene	STRING::REACTION::Gene:Gene	0.5437342069695014
GNBR::I::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.5434086991439938
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::BINDING::Gene:Gene	0.5430804163157108
GNBR::B::Gene:Gene	GNBR::H::Gene:Gene	0.5429925629925635
GNBR::I::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5427603768780245
GNBR::B::Gene:Gene	Hetionet::GiG::Gene:Gene	0.5425662083015029
GNBR::W::Gene:Gene	GNBR::E::Gene:Gene	0.5425062682415629
Hetionet::GcG::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.5423124914301388
GNBR::K::Compound:Gene	GNBR::B::Compound:Gene	0.5422234542203587
STRING::ACTIVATION::Gene:Gene	STRING::BINDING::Gene:Gene	0.5420492536359413
GNBR::A-::Compound:Gene	GNBR::O::Compound:Gene	0.5419813193342609
INTACT::ASSOCIATION::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5415305772658718
GNBR::E::Compound:Gene	GNBR::O::Compound:Gene	0.5412990071504008
INTACT::ADP RIBOSYLATION REACTION::Gene:Gene	STRING::OTHER::Gene:Gene	0.540913057530705
GNBR::I::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.5408006699183173
INTACT::ASSOCIATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5407633706163121
GNBR::B::Gene:Gene	STRING::PTMOD::Gene:Gene	0.5399350649350655
GNBR::B::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.5397588196117609
GNBR::B::Gene:Gene	GNBR::E::Gene:Gene	0.5396207387383865
INTACT::PHOSPHORYLATION REACTION::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.539537488655136
GNBR::I::Gene:Gene	STRING::BINDING::Gene:Gene	0.5388753403459289
bioarx::HumGenHumGen:Gene:Gene	GNBR::Q::Gene:Gene	0.5381812305341718
GNBR::I::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.537906619524267
GNBR::H::Gene:Gene	GNBR::W::Gene:Gene	0.5378696793402681
GNBR::V+::Gene:Gene	GNBR::H::Gene:Gene	0.5377120918297394
bioarx::HumGenHumGen:Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.5376247608600553
INTACT::CLEAVAGE REACTION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5375925708278654
GNBR::A-::Compound:Gene	GNBR::B::Compound:Gene	0.5372927889104364
GNBR::E::Gene:Gene	STRING::BINDING::Gene:Gene	0.537088723969529
Hetionet::GcG::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.5370305185011072
GNBR::I::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.5366361089890503
GNBR::Q::Gene:Gene	GNBR::E::Gene:Gene	0.5364548196901141
INTACT::ASSOCIATION::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.5364249433057483
GNBR::Rg::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5363846121199065
GNBR::Rg::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5361465984995399
GNBR::K::Compound:Gene	GNBR::Z::Compound:Gene	0.5361459326707009
INTACT::ASSOCIATION::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5360891559420975
INTACT::COLOCALIZATION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.5359488550665025
INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.5357905982905987
GNBR::Rg::Gene:Gene	GNBR::H::Gene:Gene	0.5357607098783573
GNBR::W::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5355462837815782
GNBR::Rg::Gene:Gene	INTACT::ADP RIBOSYLATION REACTION::Gene:Gene	0.535328837828838
GNBR::E::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.5350508315214204
GNBR::W::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.5350396498925916
GNBR::I::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.5350376257729201
INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5350006366182842
GNBR::E+::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5348339405692352
INTACT::DIRECT INTERACTION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5347749962455848
INTACT::COLOCALIZATION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.5347198879551825
GNBR::Q::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5346730720260136
GNBR::E::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.5346226812403289
GNBR::V+::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5345319876202234
GNBR::E::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.5345065718595136
Hetionet::GcG::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.5344191592721007
INTACT::ADP RIBOSYLATION REACTION::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5341962449315395
bioarx::HumGenHumGen:Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.5340326830032714
GNBR::E+::Gene:Gene	Hetionet::GiG::Gene:Gene	0.5339618714618717
GNBR::Q::Gene:Gene	GNBR::I::Gene:Gene	0.5338251454427929
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.533764699352935
GNBR::B::Gene:Gene	INTACT::ADP RIBOSYLATION REACTION::Gene:Gene	0.5334721650898124
GNBR::V+::Gene:Gene	STRING::BINDING::Gene:Gene	0.5332610689963638
GNBR::E::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.5332474388356745
INTACT::UBIQUITINATION REACTION::Gene:Gene	STRING::OTHER::Gene:Gene	0.5331853114206059
