Disease::DOID:0050156	idiopathic pulmonary fibrosis	特发性肺纤维化
Disease::DOID:13189	gout	痛风
Disease::DOID:1319	brain cancer	脑癌
Disease::DOID:13223	uterine fibroid	子宫肌瘤
Disease::DOID:1324	lung cancer	肺癌
Disease::DOID:13378	Kawasaki disease	川崎病
Disease::DOID:13499	jejunal cancer	空肠癌
Disease::DOID:14004	thoracic aortic aneurysm	胸主动脉瘤
Disease::DOID:14221	abdominal obesity-metabolic syndrome 1	腹部肥胖代谢综合征1
Disease::DOID:14227	azoospermia	无精子症
Disease::DOID:14268	sclerosing cholangitis	硬化性胆管炎
Disease::DOID:14330	Parkinson's disease	帕金森病
Disease::DOID:1459	hypothyroidism	甲状腺功能减退
Disease::DOID:1595	endogenous depression	内源性抑郁症
Disease::DOID:1612	breast cancer	乳腺癌
Disease::DOID:1686	glaucoma	青光眼
Disease::DOID:1725	peritoneum cancer	腹膜癌
Disease::DOID:175	vascular cancer	血管癌
Disease::DOID:1781	thyroid gland cancer	甲状腺癌
Disease::DOID:1790	malignant mesothelioma	恶性间皮瘤
Disease::DOID:1793	pancreatic cancer	胰腺癌
Disease::DOID:1826	epilepsy	癫痫
Disease::DOID:184	bone cancer	骨癌
Disease::DOID:1909	melanoma	黑色素瘤
Disease::DOID:1936	atherosclerosis	动脉粥样硬化
Disease::DOID:1964	fallopian tube cancer	输卵管癌
Disease::DOID:1993	rectum cancer	直肠癌
Disease::DOID:2043	hepatitis B	乙型肝炎
Disease::DOID:2174	ocular cancer	眼癌
Disease::DOID:219	colon cancer	肠癌
Disease::DOID:2377	multiple sclerosis	多发性硬化症
Disease::DOID:2394	ovarian cancer	卵巢癌
Disease::DOID:2531	hematologic cancer	血液系统癌症
Disease::DOID:2596	larynx cancer	喉癌
Disease::DOID:263	kidney cancer	肾癌
Disease::DOID:2841	asthma	哮喘
Disease::DOID:2994	germ cell cancer	生殖细胞癌
Disease::DOID:2998	testicular cancer	睾丸癌
Disease::DOID:3070	high grade glioma	高级胶质瘤
Disease::DOID:3083	chronic obstructive pulmonary disease	慢性阻塞性肺病
Disease::DOID:3121	gallbladder cancer	胆囊癌
Disease::DOID:3277	thymus cancer	胸腺癌
Disease::DOID:3310	atopic dermatitis	特应性皮炎
Disease::DOID:3312	bipolar disorder	双相情感障碍
Disease::DOID:332	amyotrophic lateral sclerosis	肌萎缩侧索硬化症
Disease::DOID:3393	coronary artery disease	冠状动脉疾病
Disease::DOID:3565	meningioma	脑膜瘤
Disease::DOID:3571	liver cancer	肝癌
Disease::DOID:363	uterine cancer	子宫癌
Disease::DOID:4045	muscle cancer	肌肉癌
Disease::DOID:4159	skin cancer	皮肤癌
Disease::DOID:418	systemic scleroderma	系统性硬皮病
Disease::DOID:4362	cervical cancer	宫颈癌
Disease::DOID:4481	allergic rhinitis	过敏性鼻炎
Disease::DOID:4989	pancreatitis	胰腺炎
Disease::DOID:5041	esophageal cancer	食管癌
Disease::DOID:5099	middle ear cancer	中耳癌
Disease::DOID:5408	Paget's disease of bone	佩吉特骨病
Disease::DOID:5419	schizophrenia	精神分裂症
Disease::DOID:5559	mediastinal cancer	纵隔癌
Disease::DOID:5612	spinal cancer	脊柱癌
Disease::DOID:585	nephrolithiasis	肾结石
Disease::DOID:5875	retroperitoneal cancer	腹膜后癌
Disease::DOID:594	panic disorder	惊恐障碍
Disease::DOID:635	acquired immunodeficiency syndrome	获得性免疫缺陷综合征
Disease::DOID:6364	migraine	偏头痛
Disease::DOID:7147	ankylosing spondylitis	强直性脊柱炎
Disease::DOID:7148	rheumatoid arthritis	类风湿性关节炎
Disease::DOID:7693	abdominal aortic aneurysm	腹主动脉瘤
Disease::DOID:784	chronic kidney disease	慢性肾脏病
Disease::DOID:824	periodontitis	牙周炎
Disease::DOID:8398	osteoarthritis	骨关节炎
Disease::DOID:8577	ulcerative colitis	溃疡性结肠炎
Disease::DOID:8778	Crohn's disease	克罗恩病
Disease::DOID:8850	salivary gland cancer	唾液腺癌
Disease::DOID:8893	psoriasis	牛皮癣
Disease::DOID:8986	narcolepsy	嗜睡症
Disease::DOID:90	degenerative disc disease	退行性椎间盘病
Disease::DOID:9008	psoriatic arthritis	银屑病关节炎
Disease::DOID:9074	systemic lupus erythematosus	系统性红斑狼疮
Disease::DOID:9206	Barrett's esophagus	巴雷特食管
Disease::DOID:9352	type 2 diabetes mellitus	2型糖尿病
Disease::DOID:9744	type 1 diabetes mellitus	1型糖尿病
Disease::DOID:9835	refractive error	屈光不正
Disease::DOID:986	alopecia areata	斑秃
Disease::DOID:9970	obesity	肥胖
Disease::MESH:C000590	nothing	不存在
Disease::MESH:C000591739	Familial gynecomastia, due to increased aromatase activity	家族性男性乳房发育,由于芳香化酶活性增加,遗传性,新陈代谢
Disease::MESH:C000593	nothing	不存在
Disease::MESH:C000600	nothing	不存在
Disease::MESH:C000601	nothing	不存在
Disease::MESH:C000619	nothing	不存在
Disease::MESH:C000656	nothing	不存在
Disease::MESH:C030635	DMD circulating plasma factor	杜氏肌营养不良症循环血浆因子
Disease::MESH:C031967	rasagiline	雷沙吉兰,可导致食用富含酪胺的食物的患者出现致命的高血压危象
Disease::MESH:C036843	HAP protein, human	人HAP蛋白,见于82%的临界或中度高血压患者,所有永久性高血压患者,仅见于32%的正常血压患者
Disease::MESH:C063419	CTAGE1 protein, human	CTAGE1蛋白,人类,抗原,分化, T淋巴细胞,膜糖蛋白
Disease::MESH:C073469	OccR protein, Bacteria	OccR蛋白,细菌
Disease::MESH:C074502	methanethiosulfonate	甲硫代磺酸盐,指示剂和试剂
Disease::MESH:C079345	PACET protocol	PACET协议,用于治疗复发或难治性非霍奇金淋巴瘤
Disease::MESH:C080085	MOPLEC protocol	MOPLEC协议,用于治疗晚期霍奇金病
Disease::MESH:C400741	poly(3-hydroxynonanoate)	聚（3-羟基壬酸酯）
Disease::MESH:C483999	CHA heavy chain disease protein, human	CHA重链病蛋白,人,重链病
Disease::MESH:C506814	SLPI protein, human	SLPI蛋白,人类,分泌性白细胞肽酶抑制剂
Disease::MESH:C531603	nothing	不存在
Disease::MESH:C531609	Diffuse alopecia	弥漫性脱发,斑秃
Disease::MESH:C531616	nothing	不存在
Disease::MESH:C531617	Amyotrophic lateral sclerosis 1	肌萎缩侧索硬化症1
Disease::MESH:C531622	Familial antiphospholipid syndrome	家族性抗磷脂综合征
Disease::MESH:C531629	nothing	不存在
Disease::MESH:C531633	Biotin deficiency	生物素缺乏症
Disease::MESH:C531654	Congenital chylous ascites	先天性乳糜性腹水
Disease::MESH:C531667	5 alpha Fluorouracil toxicity	5 α氟尿嘧啶毒性,二氢嘧啶脱氢酶缺乏症
Disease::MESH:C531673	Familial ependymoma	家族性室管膜瘤
Disease::MESH:C531698	Intestinal helminthiasis	肠道蠕虫病
Disease::MESH:C531728	nothing	不存在
Disease::MESH:C531736	Acute malaria	急性疟疾
Disease::MESH:C531754	Ridges-off-the-end syndrome	脊断端综合征
Disease::MESH:C531767	nothing	不存在
Disease::MESH:C531777	Islet cell tumor syndrome	胰岛细胞肿瘤综合征
Disease::MESH:C531784	Familial pityriasis rubra pilaris	家族性毛发红糠疹
Disease::MESH:C531816	Severe combined immunodeficiency due to adenosine deaminase deficiency	腺苷脱氨酶缺乏引起的严重联合免疫缺陷
Disease::MESH:C531821	Stenotrophomonas maltophilia bacteremia	嗜麦芽菌菌血症狭窄滋养单胞菌,由嗜麦芽嗜糖狭窄滋养单胞菌感染引起的菌血症,革兰氏阴性菌感染
Disease::MESH:C531854	Lysosomal acid lipase deficiency	溶酶体酸性脂肪酶缺乏症
Disease::MESH:C535276	Primary angiitis of the central nervous system	中枢神经系统原发性血管炎
Disease::MESH:C535280	Primary cortisol resistance	原发性皮质醇抵抗
Disease::MESH:C535282	Raine syndrome	雷恩综合征
Disease::MESH:C535293	Reactive angioendotheliomatosis	反应性血管内皮瘤病
Disease::MESH:C535296	Recombinant chromosome 8 syndrome	重组8号染色体综合征
Disease::MESH:C535297	Recurrent respiratory papillomatosis	复发性呼吸道状瘤病
Disease::MESH:C535299	Autoimmune progesterone dermatitis	自身免疫性黄体酮皮炎
Disease::MESH:C535300	Autosomal dominant compelling helio ophthalmic outburst syndrome	常染色体显性遗传逼迫性日力眼科爆发综合征
Disease::MESH:C535301	Charcot-Marie-Tooth disease, Type 4E	夏科-玛丽-牙病,4E型
Disease::MESH:C535305	2-hydroxyethyl methacrylate sensitization	甲基丙烯酸2-羟乙酯致敏,皮炎,过敏性接触
Disease::MESH:C535306	2-Hydroxyglutaricaciduria	2-羟基戊二酸尿症
Disease::MESH:C535310	3-Hydroxyacyl-CoA Dehydrogenase Deficiency	3-羟基酰基辅酶A脱氢酶缺乏症
Disease::MESH:C535311	Costeff optic atrophy syndrome	科斯特夫视神经萎缩综合征
Disease::MESH:C535314	Miller-McKusick-Malvaux-Syndrome (3M Syndrome)	米勒-麦库西克-马尔沃综合征（3M 综合征）
Disease::MESH:C535317	47, XYY syndrome	47、XYY综合征
Disease::MESH:C535322	5-oxoprolinase deficiency	5-氧代脯氨酸酶缺乏症
Disease::MESH:C535326	Holt-Oram syndrome	霍尔特-奥拉姆综合征
Disease::MESH:C535331	Aarskog Syndrome	阿尔斯科格综合征
Disease::MESH:C535337	Cataract, autosomal recessive congenital 2	白内障,常染色体隐性遗传先天性2
Disease::MESH:C535338	Cataract, congenital, with microcornea or slight microphthalmia	白内障,先天性,伴有微角膜或轻微小眼症
Disease::MESH:C535349	Cayler cardiofacial syndrome	凯勒心面综合征,面瘫
Disease::MESH:C535357	Choroid plexus calcification with mental retardation	脉络丛钙化伴智力低下
Disease::MESH:C535377	Epidermolysis bullosa with pyloric atresia	大疱性表皮松解症伴幽门闭锁
Disease::MESH:C535378	Arthrogryposis multiplex congenita, distal type 1	先天性多发性关节弯曲症，远端 1 型
Disease::MESH:C535380	Arthrogryposis multiplex congenita, distal, X-linked	先天性多发性关节弯曲症，远端，X连锁
Disease::MESH:C535382	Arthrogryposis renal dysfunction cholestasis syndrome	关节挛缩症肾功能不全胆汁淤积综合征
Disease::MESH:C535384	Arthrogryposis, distal, type 2E	关节弯曲，远端，2E型
Disease::MESH:C535387	Arthropathy, progressive pseudorheumatoid, of childhood	儿童期进行性假性类风湿关节病
Disease::MESH:C535388	Arts syndrome	Arts综合征
Disease::MESH:C535390	Aspergillus niger infection	黑曲霉感染
Disease::MESH:C535393	Ataxia with vitamin E deficiency	共济失调伴维生素 E 缺乏症
Disease::MESH:C535395	Atelosteogenesis type 2	2型骨不连
Disease::MESH:C535396	Atelosteogenesis, type 1	1型骨不连
Disease::MESH:C535399	Charcot-Marie-Tooth disease, dominant intermediate 1	夏科-玛丽-牙病，显性中间体 1
Disease::MESH:C535402	Galactorrhea-Hyperprolactinemia	乳腺炎高泌乳素血症
Disease::MESH:C535408	Gamma-cystathionase deficiency	γ-胱硫磷酶缺乏症
Disease::MESH:C535419	Charcot-Marie-Tooth disease, Type 4A	夏科-玛丽-牙病，4A型
Disease::MESH:C535420	Charcot-Marie-Tooth disease, Type 4B1	夏科-玛丽-牙病，4B1型
Disease::MESH:C535426	nothing	不存在
Disease::MESH:C535434	Beta ketothiolase deficiency	β-酮硫醇酶缺乏症
Disease::MESH:C535438	Bidirectional tachycardia	双向心动过速
Disease::MESH:C535444	Bile acid synthesis defect, congenital, 4	胆汁酸合成缺陷，先天性，4
Disease::MESH:C535456	Chronic recurrent multifocal osteomyelitis	慢性复发性多灶性骨髓炎
Disease::MESH:C535461	Chylothorax, congenital	乳糜胸，先天性
Disease::MESH:C535466	Convulsions benign familial neonatal dominant form	惊厥良性家族性新生儿显性形式
Disease::MESH:C535468	Copper deficiency, familial benign	铜缺乏，家族良性
Disease::MESH:C535471	Cornea guttata with anterior polar cataract	角膜伴前极白内障
Disease::MESH:C535473	Corneal dystrophy and perceptive deafness	角膜营养不良和感知性耳聋
Disease::MESH:C535474	Corneal dystrophy Avellino type	Avellino型角膜营养不良
Disease::MESH:C535475	Corneal Dystrophy, Crystalline, of Schnyder	Schnyder晶体角膜营养不良
Disease::MESH:C535476	Corneal dystrophy of Bowman layer, type 1	Bowman层1型角膜营养不良
Disease::MESH:C535477	Corneal dystrophy, epithelial basement membrane	角膜营养不良，上皮基底膜
Disease::MESH:C535483	Freeman-Sheldon syndrome	弗里曼-谢尔顿综合征
Disease::MESH:C535494	Epidermolysis bullosa, pretibial	大疱性表皮松解症，胫前
Disease::MESH:C535500	Epileptic encephalopathy, Lennox-Gastaut type	癫痫性脑病，Lennox Gastaut型
Disease::MESH:C535501	Epiphyseal dysplasia, multiple, 1	骨骺发育不良，多发性，1
Disease::MESH:C535504	Epiphyseal dysplasia, multiple, 4	骨骺发育不良，多发性，4
Disease::MESH:C535506	Episodic Ataxia, Type 2	发作性共济失调，2型
Disease::MESH:C535507	MYH9-Related Disorders	MYH9相关疾病
Disease::MESH:C535508	Ermine phenotype	Ermine表型
Disease::MESH:C535509	Erythema elevatum diutinum	利尿红斑
Disease::MESH:C535516	Hereditary leiomyomatosis and renal cell cancer	遗传性平滑肌瘤病与肾细胞癌
Disease::MESH:C535520	Renal cysts and diabetes syndrome	肾囊肿与糖尿病综合征
Disease::MESH:C535526	Infection with Mycobacterium marinum	海洋分枝杆菌感染
Disease::MESH:C535530	Interferon gamma, receptor 1, deficiency	干扰素γ受体1缺陷
Disease::MESH:C535531	Intervertebral disc disease	椎间盘疾病
Disease::MESH:C535533	nothing	不存在
Disease::MESH:C535540	Ischiopatellar dysplasia	坐骨型状发育不良
Disease::MESH:C535541	Isobutyryl-CoA dehydrogenase deficiency	异丁酰辅酶A脱氢酶缺乏症
Disease::MESH:C535550	Pelviscapular dysplasia	盆腔肩胛骨发育不良
Disease::MESH:C535551	Pemphigus and fogo selvagem	天疱疮
Disease::MESH:C535554	Abdominal obesity metabolic syndrome	腹部肥胖代谢综合征
Disease::MESH:C535557	Ablepharon macrostomia syndrome	Ablepharon巨大综合征
Disease::MESH:C535563	Absence of Tibia	胫骨缺失
Disease::MESH:C535566	Absent corpus callosum cataract immunodeficiency	无胼胝体白内障免疫缺陷
Disease::MESH:C535569	Abuse dwarfism syndrome	滥用侏儒症综合征
Disease::MESH:C535575	nothing	不存在
Disease::MESH:C535576	Cardiac valvular dysplasia, X-linked	心脏瓣膜发育不良，X-连锁
Disease::MESH:C535578	Cardiocranial syndrome	心脑综合征
Disease::MESH:C535579	Cardiofaciocutaneous syndrome	心面皮肤综合征
Disease::MESH:C535581	Cardiomyopathy dilated with woolly hair and keratoderma	扩张型心肌病伴羊毛状毛发和角化病
Disease::MESH:C535588	Carnitine palmitoyl transferase 1A deficiency	肉碱棕榈酰转移酶1A缺乏症
Disease::MESH:C535589	Carnitine palmitoyl transferase 2 deficiency	肉碱棕榈酰转移酶2缺乏
Disease::MESH:C535590	Carrington syndrome	卡灵顿综合征
Disease::MESH:C535598	Creatine deficiency, X-linked	肌酸缺乏，X-连锁
Disease::MESH:C535600	dopamine beta hydroxylase deficiency	多巴胺β羟化酶缺乏症
Disease::MESH:C535601	Dosage-sensitive sex reversal	剂量敏感性逆转
Disease::MESH:C535602	Doyne honeycomb retinal dystrophy	Doyne蜂窝状视网膜营养不良
Disease::MESH:C535607	Aicardi-Goutieres syndrome	Aicardi-Goutieres综合征
Disease::MESH:C535620	Hairy palms and soles	毛茸茸的手掌和脚掌
Disease::MESH:C535627	Hand foot uterus syndrome	手足子宫综合征
Disease::MESH:C535642	Growth retardation, Alopecia, Pseudoanodontia and Optic atrophy	生长迟缓、脱发、假牙缺失和视神经萎缩
Disease::MESH:C535646	Garret Tripp syndrome	Garret-Trip综合征
Disease::MESH:C535648	Familial primary gastric lymphoma	家族性原发性胃淋巴瘤
Disease::MESH:C535650	Gastro-enteropancreatic neuroendocrine tumor	胃肠胰神经内分泌肿瘤
Disease::MESH:C535658	Acromesomelic dysplasia	顶中鼻甲发育不良
Disease::MESH:C535661	Acromesomelic dysplasia, Maroteaux type	顶中鼻甲发育不良，Maroteaux型
Disease::MESH:C535662	Acromicric dysplasia	肢端发育不良
Disease::MESH:C535668	Adrenocorticotropic hormone deficiency	促肾上腺皮质激素缺乏
Disease::MESH:C535669	Actinic cheilitis	光化性唇炎
Disease::MESH:C535672	Acute cholinergic dysautonomia	急性胆碱能自主神经障碍
Disease::MESH:C535676	Richieri Costa Guion-Almeida syndrome	Richieri Costa Guion Almeida综合征
Disease::MESH:C535679	Axenfeld-Rieger syndrome	Axenfeld-Rieger综合征
Disease::MESH:C535682	Right ventricle hypoplasia	右心室发育不全
Disease::MESH:C535683	Rigid spine syndrome	脊柱僵硬综合征
Disease::MESH:C535687	Roberts Syndrome	罗伯茨综合征
Disease::MESH:C535689	Laurin-Sandrow syndrome	劳林-桑德罗综合征
Disease::MESH:C535694	Malignant hyperthermia susceptibility type 1	恶性高热易感性1型
Disease::MESH:C535700	Malignant mesenchymal tumor	恶性间质瘤
Disease::MESH:C535702	Malonic aciduria	丙二酸尿
Disease::MESH:C535705	Mandibuloacral dysplasia with type A lipodystrophy	下颌骨发育不良伴A型脂肪营养不良
Disease::MESH:C535706	Mandibuloacral dysplasia with type B lipodystrophy	下颌骨发育不良伴B型脂肪营养不良
Disease::MESH:C535721	Duodenal ulcer due to antral G-cell hyperfunction	胃窦G细胞功能亢进引起的十二指肠溃疡
Disease::MESH:C535725	Dwarfism tall vertebrae	侏儒高椎
Disease::MESH:C535726	Dyggve-Melchior-Clausen syndrome	Dyggve Melchior Clausen综合征
Disease::MESH:C535729	Dyschromatosis symmetrica hereditaria 1	遗传性对称性色素沉着病1
Disease::MESH:C535730	Dyschromatosis universalis hereditaria	遗传性普遍性色素沉着病
Disease::MESH:C535731	Dysequilibrium syndrome	失衡综合征
Disease::MESH:C535733	Emanuel syndrome	伊曼纽尔综合征
Disease::MESH:C535739	Congenital disorder of glycosylation type 1A	先天性1A型糖基化障碍
Disease::MESH:C535740	Congenital disorder of glycosylation type 1B	先天性1B型糖基化障碍
Disease::MESH:C535741	Congenital disorder of glycosylation type 1C	先天性1C型糖基化障碍
Disease::MESH:C535743	Congenital disorder of glycosylation type 1E	先天性1E型糖基化障碍
Disease::MESH:C535750	Congenital disorder of glycosylation type 1L	1L型先天性糖基化障碍
Disease::MESH:C535752	Congenital disorder of glycosylation type 2A	先天性2A型糖基化障碍
Disease::MESH:C535755	Congenital disorder of glycosylation, type 2C	先天性糖基化障碍，2C型
Disease::MESH:C535758	Congenital heart block	先天性心脏传导阻滞
Disease::MESH:C535761	Nephrosis, congenital	肾病，先天性
Disease::MESH:C535764	Eunuchoidism, familial hypogonadotropic	子宫颈疾病，家族性促性腺功能减退
Disease::MESH:C535776	Pierre Robin syndrome with fetal chondrodysplasia	皮埃尔·罗宾综合征伴胎儿软骨发育不良
Disease::MESH:C535780	Spondylocarpotarsal synostosis	脊椎胸廓关节炎
Disease::MESH:C535782	Spondyloenchondrodysplasia	脊椎软骨发育不良
Disease::MESH:C535788	Spondyloepiphyseal dysplasia, congenita	先天性脊椎管发育不良
Disease::MESH:C535792	Spondylometaphyseal dysplasia with dentinogenesis imperfecta	伴有牙本质发育不全的脊椎间质发育不良
Disease::MESH:C535795	Spondylometaphyseal dysplasia, axial	脊椎间质发育不良，轴向
Disease::MESH:C535803	succinic semialdehyde dehydrogenase deficiency	琥珀酸半醛脱氢酶缺乏症
Disease::MESH:C535804	nothing	不存在
Disease::MESH:C535805	Stargardt disease 3	Stargardt病3
Disease::MESH:C535808	Mohr-Tranebjaerg syndrome	Mohr-Tranebjaerg综合征
Disease::MESH:C535814	Neurosarcoidosis	神经结节病
Disease::MESH:C535815	Neutropenia, severe chronic	中性粒细胞减少，严重慢性
Disease::MESH:C535819	Pseudoachondroplasia	假性软骨发育不全
Disease::MESH:C535830	Pseudovaginal Perineoscrotal Hypospadias	假阴道阴囊周围尿道下裂
Disease::MESH:C535833	Pulmonary edema of mountaineers	登山者肺水肿
Disease::MESH:C535838	nothing	不存在
Disease::MESH:C535841	Hashimoto's encephalitis	桥本脑炎
Disease::MESH:C535842	Thyroiditis, Chronic	甲状腺炎，慢性
Disease::MESH:C535844	Haspeslagh Fryns Muelenaere syndrome	Haspeslagh-Fryns-Muelenaere综合征
Disease::MESH:C535850	Heart defects limb shortening	心脏缺陷肢体缩短
Disease::MESH:C535857	Hecht syndrome	赫克特综合征
Disease::MESH:C535858	HEM dysplasia	HEM发育不良
Disease::MESH:C535860	Hemangioma, capillary infantile	血管瘤，毛细血管婴儿
Disease::MESH:C535863	Robinow syndrome, autosomal recessive	Robinnow综合征，常染色体隐性
Disease::MESH:C535866	Roifman syndrome	Roifman综合征
Disease::MESH:C535869	Rokitansky-Aschoff sinuses of the gallbladder	胆囊Rokitansky Aschoff窦
Disease::MESH:C535887	Leukocyte adhesion deficiency type 1	白细胞粘附缺陷1型
Disease::MESH:C535890	Levator syndrome	提肌综合征
Disease::MESH:C535896	Limb-girdle muscular dystrophy type 2F	2F型肢带肌营养不良
Disease::MESH:C535899	Limb-girdle muscular dystrophy, type 2B	肢带型肌营养不良，2B型
Disease::MESH:C535905	Lipoatrophy with diabetes, hepatic steatosis, cardiomyopathy, and leukomelanodermic papules	脂肪萎缩伴糖尿病、肝脂肪变性、心肌病和白黑皮病丘疹
Disease::MESH:C535916	Cartilage-hair hypoplasia	软骨毛发发育不全
Disease::MESH:C535918	Schmid-Fraccaro syndrome	Schmid-Fracaro综合征
Disease::MESH:C535919	Charcot-Marie-Tooth disease, X-linked, 1	Charcot-Marie Tooth病，X连锁，1
Disease::MESH:C535932	Intrahepatic Cholestasis of Pregnancy	妊娠期肝内胆汁淤积
Disease::MESH:C535933	Cholestasis, progressive familial intrahepatic 1	胆汁淤积症，进行性家族性肝内1
Disease::MESH:C535935	Cholestasis, progressive familial intrahepatic 3	胆汁淤积症，进行性家族性肝内3
Disease::MESH:C535939	Chondrocalcinosis due to Apatite crystal deposition	磷灰石晶体沉积导致软骨钙质沉着
Disease::MESH:C535942	Corneal dystrophy, Thiel-Behnke type	角膜营养不良，Thiel Behnke型
Disease::MESH:C535943	Desbuquois syndrome	Desbuquois综合征
Disease::MESH:C535944	Desmoid disease, hereditary	筛窦病，遗传性
Disease::MESH:C535950	Dianzani autoimmune lymphoproliferative syndrome	Dianzani自身免疫性淋巴增生综合征
Disease::MESH:C535952	Eosinophilic enteropathy	嗜酸性肠病
Disease::MESH:C535953	Eosinophilic pustular folliculitis	嗜酸性脓疱性毛囊炎
Disease::MESH:C535955	Epidermolysa bullosa simplex and limb girdle muscular dystrophy	单纯大疱性表皮炎和四肢带状肌营养不良
Disease::MESH:C535959	Epidermolysis bullosa simplex with mottled pigmentation	单纯性大疱性表皮松解症伴斑驳色素沉着
Disease::MESH:C535962	Epidermolysis bullosa simplex, Ogna type	奥格纳型单纯性大疱性表皮松解症
Disease::MESH:C535970	Coloboma of optic nerve	视神经缺损
Disease::MESH:C535978	Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency	11-β羟化酶缺乏导致先天性肾上腺增生
Disease::MESH:C535979	Congenital adrenal hyperplasia due to 21 hydroxylase deficiency	21-羟化酶缺乏导致先天性肾上腺增生
Disease::MESH:C535981	Congenital alopecia X-linked	先天性脱发X-连锁
Disease::MESH:C535982	Congenital amegakaryocytic thrombocytopenia	先天性非巨核细胞性血小板减少症
Disease::MESH:C535984	Congenital bilateral aplasia of vas deferens	先天性双侧输精管发育不全
Disease::MESH:C536004	Familial apoceruloplasmin deficiency	家族性铜蓝蛋白缺乏症
Disease::MESH:C536008	Achalasia Addisonianism Alacrimia syndrome	阿狄森病-阿拉克里米亚综合征
Disease::MESH:C536013	Achard-Thiers syndrome	Achard Thiers综合征
Disease::MESH:C536029	MASA (Mental Retardation, Aphasia, Shuffling Gait, Adducted Thumbs) Syndrome	MASA（精神发育迟滞、失语症、抖动步态、拇指内收）综合征
Disease::MESH:C536030	MASS syndrome	MASS综合征
Disease::MESH:C536038	Medium chain acyl CoA dehydrogenase deficiency	中链酰基辅酶A脱氢酶缺乏症
Disease::MESH:C536045	nothing	不存在
Disease::MESH:C536047	Osteogenesis imperfecta, type 6	成骨不全症，6型
Disease::MESH:C536050	Osteoglophonic dwarfism	骨声门侏儒症
Disease::MESH:C536051	Osteolysis hereditary multicentric	骨溶解遗传性多中心
Disease::MESH:C536056	Osteopetrosis autosomal dominant type 1	骨质疏松症常染色体显性1型
Disease::MESH:C536058	Osteopetrosis with renal tubular acidosis	骨质疏松症伴肾小管酸中毒
Disease::MESH:C536063	Osteoporosis-pseudoglioma syndrome	骨质疏松症-假性胶质瘤综合征
Disease::MESH:C536068	Hoyeraal Hreidarsson syndrome	Hoyeraal-Hreidarsson综合征
Disease::MESH:C536075	Hyaloideoretinal degeneration of Wagner	Wagner的透明视网膜变性
Disease::MESH:C536080	nothing	不存在
Disease::MESH:C536089	Congenital myasthenic syndrome ib	先天性肌无力综合征
Disease::MESH:C536090	Myasthenic syndrome, congenital, type Id	肌无力综合征，先天性，Id型
Disease::MESH:C536092	Mycobacterium tuberculosis, susceptibility to infection by	结核分枝杆菌
Disease::MESH:C536096	Myoclonic dystonia	肌阵挛性肌张力障碍
Disease::MESH:C536101	Myopathy with lactic acidosis and sideroblastic anemia	伴有乳酸酸中毒和成铁细胞性贫血的肌病
Disease::MESH:C536106	Myostatin-related muscle hypertrophy	肌生长抑制素相关的肌肉肥大
