edge_type1	edge_type2	percentage of overlapping predicted edges
GNBR::Q::Gene:Gene	GNBR::E+::Gene:Gene	0.3859167131458156
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.38577474726855554
GNBR::I::Gene:Gene	GNBR::E+::Gene:Gene	0.384562213672121
GNBR::H::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.3838169621915754
GNBR::I::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.38215522094005083
GNBR::E::Gene:Gene	Hetionet::CrC::Compound:Compound	0.38215439703055815
GNBR::Rg::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.38213960360245186
GNBR::E+::Gene:Gene	GNBR::W::Gene:Gene	0.3817286952813271
GNBR::E+::Gene:Gene	Hetionet::CrC::Compound:Compound	0.38159203455643115
GNBR::H::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.38071288446675466
bioarx::HumGenHumGen:Gene:Gene	GNBR::E+::Gene:Gene	0.38028180367963654
GNBR::E+::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.37993288445300855
GNBR::I::Gene:Gene	Hetionet::CrC::Compound:Compound	0.37908544757615986
INTACT::CLEAVAGE REACTION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.3782867167232493
GNBR::V+::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.3781313638202185
INTACT::COLOCALIZATION::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.37788902617850006
GNBR::I::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.3775543883361223
bioarx::HumGenHumGen:Gene:Gene	GNBR::V+::Gene:Gene	0.377183092964827
INTACT::DIRECT INTERACTION::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.3769900928105263
GNBR::E::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.3759717269314794
GNBR::Rg::Gene:Gene	GNBR::W::Gene:Gene	0.37415323926159866
INTACT::COLOCALIZATION::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.3739003231031097
Hetionet::GiG::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.3728967472156328
GNBR::I::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.37190022653644966
GNBR::Q::Gene:Gene	GNBR::I::Gene:Gene	0.3717333749841491
GNBR::Q::Gene:Gene	Hetionet::CrC::Compound:Compound	0.3715731842976427
GNBR::Q::Gene:Gene	GNBR::B::Gene:Gene	0.37148034799737617
GNBR::V+::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.37129925458098845
INTACT::ASSOCIATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.37126389434438983
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.37038605529317636
GNBR::B::Gene:Gene	GNBR::W::Gene:Gene	0.3696477739666596
GNBR::B::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.3693491664853897
GNBR::V+::Gene:Gene	GNBR::W::Gene:Gene	0.3689097048462374
INTACT::COLOCALIZATION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.3680203319212609
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.3676385087221001
GNBR::W::Gene:Gene	GNBR::E::Gene:Gene	0.3673718919539354
GNBR::E::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.36701403000164623
GNBR::Rg::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.36656692464742024
bioarx::HumGenHumGen:Gene:Gene	GNBR::H::Gene:Gene	0.3648314851643027
GNBR::V+::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.3646548523715709
INTACT::DIRECT INTERACTION::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.3643680210398479
GNBR::E+::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.36308079089812856
GNBR::B::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.36116075788676427
bioarx::HumGenHumGen:Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.36113179562095993
GNBR::B::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.3605109046440317
GNBR::B::Gene:Gene	Hetionet::CrC::Compound:Compound	0.36030562059199844
GNBR::V+::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.36002541404244215
bioarx::HumGenHumGen:Gene:Gene	GNBR::W::Gene:Gene	0.35777356114817427
GNBR::H::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.3574485258463587
GNBR::E::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.357086387984221
GNBR::E+::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.35650925270120354
GNBR::Q::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.35649758222513667
bioarx::HumGenHumGen:Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.355850814132548
bioarx::HumGenHumGen:Gene:Gene	GNBR::E::Gene:Gene	0.3553093818805895
INTACT::ASSOCIATION::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.3543510849315805
GNBR::Q::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.3542373252822171
GNBR::E::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.35316311827147745
bioarx::HumGenHumGen:Gene:Gene	GNBR::I::Gene:Gene	0.3530643805798605
GNBR::Rg::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.3526420578045966
GNBR::I::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.35218158260727944
bioarx::HumGenHumGen:Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.35164889719843273
GNBR::E+::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.35148023459168976
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.3513205078375358
GNBR::W::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.35112647070851416
GNBR::N::Compound:Gene	GNBR::E-::Compound:Gene	0.34985605467803604
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.3496496786667067
INTACT::CLEAVAGE REACTION::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.349132917306292
GNBR::H::Gene:Gene	GNBR::W::Gene:Gene	0.34891940360980606
GNBR::B::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.3485150118199653
bioarx::HumGenHumGen:Gene:Gene	Hetionet::CrC::Compound:Compound	0.34738844317017703
GNBR::H::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.34697144187082274
GNBR::K::Compound:Gene	GNBR::E+::Compound:Gene	0.3462053220257554
bioarx::HumGenHumGen:Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.346175571074952
bioarx::HumGenHumGen:Gene:Gene	GNBR::Rg::Gene:Gene	0.3438422954754225
GNBR::B::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.3433259696959388
STRING::INHIBITION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.3430898496068775
Hetionet::GiG::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.34252504289656016
bioarx::HumGenHumGen:Gene:Gene	Hetionet::GiG::Gene:Gene	0.3423931400556786
Hetionet::GiG::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.3421750385837074
GNBR::V+::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.3417788188763422
GNBR::Rg::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.34139615973981313
Hetionet::GiG::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.3409234135317727
GNBR::I::Gene:Gene	GNBR::W::Gene:Gene	0.3408657836831212
GNBR::I::Gene:Gene	Hetionet::GiG::Gene:Gene	0.3401727580984548
bioarx::HumGenHumGen:Gene:Gene	GNBR::Q::Gene:Gene	0.339486038557246
GNBR::E::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.3389965074485199
GNBR::Rg::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.3388171486236503
GNBR::I::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.3383609965885507
Hetionet::CrC::Compound:Compound	INTACT::DIRECT INTERACTION::Gene:Gene	0.33833315635173206
INTACT::UBIQUITINATION REACTION::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.337815692219717
GNBR::Rg::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.33771715126978286
GNBR::N::Compound:Gene	GNBR::A-::Compound:Gene	0.33740740855291934
INTACT::CLEAVAGE REACTION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.3365894176343092
GNBR::I::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.3354878025311463
GNBR::Q::Gene:Gene	GNBR::W::Gene:Gene	0.3354156490224602
INTACT::PHOSPHORYLATION REACTION::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.33486213476925547
INTACT::PHOSPHORYLATION REACTION::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.33404208450648076
GNBR::Q::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.3337686144265092
GNBR::Rg::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.33362959967449113
INTACT::ASSOCIATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.3334291267727801
INTACT::COLOCALIZATION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.3331490997822268
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::enzyme::Compound:Gene	0.3327711091797777
bioarx::HumGenHumGen:Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.3326032490041777
GNBR::H::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.33232187145499836
STRING::INHIBITION::Gene:Gene	STRING::BINDING::Gene:Gene	0.3321542337951006
DRUGBANK::enzyme::Compound:Gene	Hetionet::CbG::Compound:Gene	0.33202536369719016
STRING::BINDING::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.331790731628193
INTACT::PHOSPHORYLATION REACTION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.33174991503164875
GNBR::E::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.3312286921884446
GNBR::E+::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.3305561526536758
bioarx::HumGenHumGen:Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.33053039152110353
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::BINDING::Gene:Gene	0.3302774367015854
INTACT::ASSOCIATION::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.3294205089715925
INTACT::CLEAVAGE REACTION::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.3291128634007891
GNBR::V+::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.328824429784182
GNBR::Q::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.3285053199294686
GNBR::Q::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.32627940858591026
GNBR::V+::Gene:Gene	Hetionet::GiG::Gene:Gene	0.3258518365019914
INTACT::PHOSPHORYLATION REACTION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.3255047059923219
Hetionet::CrC::Compound:Compound	INTACT::COLOCALIZATION::Gene:Gene	0.3250314168116025
GNBR::E::Gene:Gene	Hetionet::GiG::Gene:Gene	0.32462417183779413
INTACT::UBIQUITINATION REACTION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.3245780303288042
bioarx::HumGenHumGen:Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.3244746945520939
GNBR::B::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.32397132451312005
INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.32273295675772445
GNBR::B::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.3226707219509076
GNBR::Rg::Gene:Gene	Hetionet::GiG::Gene:Gene	0.3221543996079599
GNBR::W::Gene:Gene	Hetionet::CrC::Compound:Compound	0.3218411353008876
GNBR::H::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.32183307404669637
GNBR::V+::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.32175473391417647
GNBR::H::Gene:Gene	Hetionet::GiG::Gene:Gene	0.3208245237734402
Hetionet::GiG::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.32076216009652536
STRING::REACTION::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.3187658282549922
GNBR::H::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.31843777309721566
GNBR::B::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.31688807150881454
GNBR::Q::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.3164933286527713
GNBR::Q::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.316491377559489
INTACT::PROTEIN CLEAVAGE::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.31519412218328624
GNBR::E+::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.3143606745851326
GNBR::E+::Gene:Gene	Hetionet::GiG::Gene:Gene	0.31430212889965214
GNBR::Rg::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.31348774376638155
GNBR::W::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.3133724789142745
Hetionet::CrC::Compound:Compound	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.313014760437361
GNBR::E+::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.3125910450059058
GNBR::H::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.3124441502769676
GNBR::H::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.31179684092996773
GNBR::Q::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.3113734399415514
INTACT::ASSOCIATION::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.3111055757108387
Hetionet::GiG::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.309846863662653
GNBR::E::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.309745728987215
GNBR::I::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.3093571349531102
GNBR::H::Gene:Gene	Hetionet::GcG::Gene:Gene	0.30872416798887387
Hetionet::CrC::Compound:Compound	INTACT::CLEAVAGE REACTION::Gene:Gene	0.3083895662301234
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.30784299979346424
GNBR::W::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.3077481402326603
INTACT::COLOCALIZATION::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.306757668715873
INTACT::COLOCALIZATION::Gene:Gene	STRING::BINDING::Gene:Gene	0.3058550170160077
GNBR::B::Gene:Gene	Hetionet::GiG::Gene:Gene	0.3056319798192863
bioarx::HumGenHumGen:Gene:Gene	STRING::INHIBITION::Gene:Gene	0.3043784165610791
GNBR::V+::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.3041347309381364
GNBR::Q::Gene:Gene	Hetionet::GiG::Gene:Gene	0.3037975715375096
STRING::ACTIVATION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.30354924659104215
GNBR::I::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.3035387342275887
GNBR::E::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.30347741783500287
GNBR::V+::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.30340102106355976
INTACT::CLEAVAGE REACTION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.3033951815298564
GNBR::E+::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.3021336841692878
GNBR::H::Gene:Gene	STRING::BINDING::Gene:Gene	0.30001278992765046
GNBR::E+::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.2997503691698737
GNBR::I::Gene:Gene	Hetionet::GcG::Gene:Gene	0.29939977892764275
GNBR::Rg::Gene:Gene	STRING::BINDING::Gene:Gene	0.29776301957416496
GNBR::Rg::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.2977032788333097
INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.2976803897856528
GNBR::B::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.29743049949706285
Hetionet::CrC::Compound:Compound	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.2970653091318727
Hetionet::CrC::Compound:Compound	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.2970569935740214
GNBR::I::Gene:Gene	STRING::BINDING::Gene:Gene	0.2962598074440179
GNBR::W::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.29560187662354825
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.29555411306959295
GNBR::B::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.2947434608734916
GNBR::E::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.2940192667669447
GNBR::Q::Gene:Gene	STRING::BINDING::Gene:Gene	0.2938402094981042
INTACT::PHOSPHORYLATION REACTION::Gene:Gene	STRING::BINDING::Gene:Gene	0.29350556821919055
INTACT::ASSOCIATION::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.29272896092555517
GNBR::V+::Gene:Gene	STRING::BINDING::Gene:Gene	0.2924148203018171
INTACT::ASSOCIATION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.2922852328270284
GNBR::V+::Gene:Gene	Hetionet::GcG::Gene:Gene	0.29159420215147774
GNBR::B::Gene:Gene	STRING::BINDING::Gene:Gene	0.28941738945608914
GNBR::W::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.28919124219433817
Hetionet::CrC::Compound:Compound	Hetionet::GcG::Gene:Gene	0.28899283722813135
Hetionet::CrC::Compound:Compound	STRING::INHIBITION::Gene:Gene	0.2885525353559408
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::BINDING::Gene:Gene	0.2883831699775972
GNBR::W::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.2882851917604239
GNBR::W::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.28814805077962957
INTACT::COLOCALIZATION::Gene:Gene	STRING::OTHER::Gene:Gene	0.2877331706820868
Hetionet::GiG::Gene:Gene	Hetionet::CrC::Compound:Compound	0.28766801911538753
GNBR::W::Gene:Gene	INTACT::UBIQUITINATION REACTION::Gene:Gene	0.28744521044830645
GNBR::E+::Gene:Gene	Hetionet::GcG::Gene:Gene	0.28722208733818627
DRUGBANK::target::Compound:Gene	DRUGBANK::enzyme::Compound:Gene	0.2858496070492972
Hetionet::GiG::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.2849616817650874
INTACT::CLEAVAGE REACTION::Gene:Gene	STRING::BINDING::Gene:Gene	0.28382938355074555
bioarx::HumGenHumGen:Gene:Gene	STRING::BINDING::Gene:Gene	0.28363977182088623
GNBR::E::Gene:Gene	Hetionet::GcG::Gene:Gene	0.2833925757764766
STRING::REACTION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.28324246101335887
GNBR::Rg::Gene:Gene	Hetionet::GcG::Gene:Gene	0.28300860817888684
GNBR::E::Compound:Gene	GNBR::E-::Compound:Gene	0.2823958557782086
GNBR::Q::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.28211072982744795
Hetionet::GcG::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.2817279736087786
GNBR::E+::Gene:Gene	STRING::BINDING::Gene:Gene	0.2802919801217013
Hetionet::GiG::Gene:Gene	STRING::BINDING::Gene:Gene	0.2791045478429379
STRING::ACTIVATION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.2790035635159473
GNBR::W::Gene:Gene	INTACT::ASSOCIATION::Gene:Gene	0.2783461567672094
GNBR::E::Gene:Gene	STRING::BINDING::Gene:Gene	0.2779541219014902
GNBR::W::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.27718060663107097
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::REACTION::Gene:Gene	0.2767985574796721
Hetionet::GcG::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.2766998111967153
INTACT::UBIQUITINATION REACTION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.27654383370327623
GNBR::Q::Gene:Gene	Hetionet::GcG::Gene:Gene	0.27580057111790857
STRING::REACTION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.27578171828171827
GNBR::B::Gene:Gene	Hetionet::GcG::Gene:Gene	0.27574622659761966
Hetionet::CrC::Compound:Compound	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.2756002743386644
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::carrier::Compound:Gene	0.27526914949515563
Hetionet::GcG::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.2744297283383971
INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.2738929835214665
