relation_1	relation_2	pair-wise relation embedding cosine similarity
DGIDB::OTHER::Gene:Compound	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	0.645260214805603
Hetionet::CbG::Compound:Gene	Hetionet::CdG::Compound:Gene	0.6450390815734863
DGIDB::ANTIBODY::Gene:Compound	DGIDB::ACTIVATOR::Gene:Compound	0.6437994241714478
DRUGBANK::carrier::Compound:Gene	INTACT::ASSOCIATION::Compound:Gene	0.6413365006446838
DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	DGIDB::ALLOSTERIC MODULATOR::Gene:Compound	0.6396321058273315
DGIDB::MODULATOR::Gene:Compound	DGIDB::CHANNEL BLOCKER::Gene:Compound	0.6366680264472961
Hetionet::CuG::Compound:Gene	INTACT::ASSOCIATION::Compound:Gene	0.6361174583435059
DGIDB::INHIBITOR::Gene:Compound	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	0.6355205178260803
DGIDB::ANTAGONIST::Gene:Compound	DGIDB::PARTIAL AGONIST::Gene:Compound	0.6338826417922974
DGIDB::INHIBITOR::Gene:Compound	DGIDB::PARTIAL AGONIST::Gene:Compound	0.633281946182251
DGIDB::MODULATOR::Gene:Compound	DGIDB::ANTIBODY::Gene:Compound	0.6306605339050293
DRUGBANK::enzyme::Compound:Gene	INTACT::ASSOCIATION::Compound:Gene	0.6299068927764893
DGIDB::ANTAGONIST::Gene:Compound	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	0.6252683401107788
DGIDB::BLOCKER::Gene:Compound	DGIDB::ANTIBODY::Gene:Compound	0.6206459999084473
Hetionet::CuG::Compound:Gene	INTACT::DIRECT INTERACTION::Compound:Gene	0.6198306083679199
Hetionet::CdG::Compound:Gene	INTACT::ASSOCIATION::Compound:Gene	0.6186063289642334
GNBR::C::Compound:Disease	GNBR::L::Gene:Disease	0.6124111413955688
DGIDB::MODULATOR::Gene:Compound	DGIDB::ALLOSTERIC MODULATOR::Gene:Compound	0.6114249229431152
DGIDB::BINDER::Gene:Compound	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	0.6108609437942505
GNBR::E+::Compound:Gene	Hetionet::CuG::Compound:Gene	0.6050262451171875
DGIDB::AGONIST::Gene:Compound	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	0.6047134399414062
GNBR::E::Compound:Gene	INTACT::ASSOCIATION::Compound:Gene	0.6015699505805969
bioarx::DrugHumGen:Compound:Gene	Hetionet::CuG::Compound:Gene	0.6013402938842773
DRUGBANK::target::Compound:Gene	Hetionet::CuG::Compound:Gene	0.6005958318710327
